analysis_layer,method,item_id,item_name,subject_n,item_MAE,item_NAE
HAMD16_core,CrossAI,6,早醒,99,0.43434343434343436,0.21717171717171718
HAMD16_core,CrossAI,7,工作和活动,99,0.6666666666666666,0.16666666666666666
HAMD16_core,CrossAI,8,迟滞,99,0.6181818181818182,0.15454545454545454
HAMD16_core,CrossAI,9,激越,99,0.5484848484848485,0.13712121212121212
HAMD16_core,CrossAI,10,精神性焦虑,99,0.5131313131313132,0.1282828282828283
HAMD16_core,CrossAI,11,躯体性焦虑,99,0.5868686868686869,0.14671717171717172
HAMD16_core,CrossAI,12,胃肠道症状,99,0.20707070707070707,0.10353535353535354
HAMD16_core,CrossAI,13,全身症状,99,0.26666666666666666,0.13333333333333333
HAMD16_core,CrossAI,15,疑病,99,0.4383838383838384,0.1095959595959596
HAMD16_core,CrossAI,16,体重减轻,99,0.29090909090909095,0.14545454545454548
HAMD16_core,CrossAI,17,自知力,99,0.2292929292929293,0.11464646464646465
HAMD16_core,WithinAI_GLM,1,抑郁情绪,99,0.7393939393939394,0.18484848484848485
