analysis_subset,c03_total_MAE,cancellation_ratio,cancellation_ratio_median,complete_subject_coverage,complete_subject_n,coverage,coverage_IQR,coverage_median,delta_total_MAE_IQR,delta_total_MAE_median,delta_total_MAE_vs_C03,fold,fold_improved_vs_C03,folds_improved_n,folds_total_n,item_MAE,item_NAE,item_NAE_IQR,item_NAE_median,level,method,model,proportion_folds_improved,repeat,scale,subject_n,total_MAE,total_MAE_IQR,total_MAE_max,total_MAE_median,total_MAE_min,total_RMSE
hamd99,2.8947368421052633,0.5656015037593985,,1.0,19,1.0,,,,,0.0,4.0,0.0,,,0.41118421052631576,0.13486842105263158,,,outer_fold,Mean,GLM-5.2,,2.0,HAMD-17,19,2.8947368421052633,,,,,4.358898943540674
hamd99,2.8947368421052633,0.5492745020445852,,1.0,19,1.0,,,,,0.26315789473684204,4.0,0.0,,,0.42105263157894735,0.13815789473684212,,,outer_fold,Median,GLM-5.2,,2.0,HAMD-17,19,3.1578947368421053,,,,,4.952405051030629
hamd99,2.8947368421052633,0.547827903091061,,1.0,19,1.0,,,,,0.42105263157894735,4.0,0.0,,,0.45723684210526316,0.15707236842105263,,,outer_fold,Ridge,GLM-5.2,,2.0,HAMD-17,19,3.3157894736842106,,,,,4.394973205115614
hamd99,3.6,0.5366414141414141,,1.0,20,1.0,,,,,-0.3500000000000001,0.0,1.0,,,0.446875,0.14921875,,,outer_fold,B,GLM-5.2,,3.0,HAMD-17,20,3.25,,,,,4.068169121361598
hamd99,3.6,0.4607079032079032,,1.0,20,1.0,,,,,0.0,0.0,,,,0.44375,0.14765625,,,outer_fold,C03,GLM-5.2,,3.0,HAMD-17,20,3.6,,,,,4.2895221179054435
hamd99,3.6,0.43194444444444446,,1.0,20,1.0,,,,,0.3999999999999999,0.0,0.0,,,0.4625,0.15703125,,,outer_fold,ElasticNet,GLM-5.2,,3.0,HAMD-17,20,4.0,,,,,4.8270073544588685
hamd99,3.6,0.5062554112554112,,1.0,20,1.0,,,,,-0.3500000000000001,0.0,1.0,,,0.428125,0.1421875,,,outer_fold,Mean,GLM-5.2,,3.0,HAMD-17,20,3.25,,,,,4.141255848169731
hamd99,3.6,0.5376190476190477,,1.0,20,1.0,,,,,-0.6499999999999999,0.0,1.0,,,0.415625,0.1375,,,outer_fold,Median,GLM-5.2,,3.0,HAMD-17,20,2.95,,,,,3.840572873934304
hamd99,3.6,0.4981962481962481,,1.0,20,1.0,,,,,0.25,0.0,0.0,,,0.471875,0.16015625,,,outer_fold,Ridge,GLM-5.2,,3.0,HAMD-17,20,3.85,,,,,4.759201613716317
hamd99,3.35,0.5295454545454545,,1.0,20,1.0,,,,,0.44999999999999973,1.0,0.0,,,0.45625,0.14765625,,,outer_fold,B,GLM-5.2,,3.0,HAMD-17,20,3.8,,,,,5.744562646538029
hamd99,3.35,0.5728699078699078,,1.0,20,1.0,,,,,0.0,1.0,,,,0.459375,0.14609375,,,outer_fold,C03,GLM-5.2,,3.0,HAMD-17,20,3.35,,,,,4.674398357008098
hamd99,3.35,0.5448007384772091,,1.0,20,1.0,,,,,0.2999999999999998,1.0,0.0,,,0.446875,0.14609375,,,outer_fold,ElasticNet,GLM-5.2,,3.0,HAMD-17,20,3.65,,,,,5.024937810560445
