scale,model,analysis_subset,item_id,item_name,method,N,item_MAE,item_NAE,delta_item_MAE_vs_C03,delta_item_MAE_CI_low,delta_item_MAE_CI_high,delta_item_MAE_p,mean_signed_error,exact_agreement,delta_item_MAE_q
PHQ-8,DeepSeek-V4-Pro,primary142,5,食欲问题,ElasticNet,1420,0.8204225352112676,0.2734741784037559,-0.08098591549295774,-0.24929577464788732,0.08521126760563381,0.35126487351264873,0.0852112676056338,0.2971830985915493,0.4014455697287414
PHQ-8,DeepSeek-V4-Pro,primary142,5,食欲问题,Mean,1420,0.9084507042253521,0.3028169014084507,0.007042253521126761,-0.028169014084507043,0.04225352112676056,1.0,-0.852112676056338,0.4295774647887324,1.0
PHQ-8,DeepSeek-V4-Pro,primary142,5,食欲问题,Median,1420,0.9225352112676056,0.3075117370892019,0.02112676056338028,-0.028169014084507043,0.06338028169014084,0.5595440455954405,-0.8661971830985915,0.43661971830985913,0.6746753896038967
PHQ-8,DeepSeek-V4-Pro,primary142,5,食欲问题,Ridge,1420,0.821830985915493,0.273943661971831,-0.07957746478873239,-0.24647887323943662,0.09720070422535203,0.35106489351064896,0.09788732394366197,0.29507042253521126,0.46808652468086526
PHQ-8,DeepSeek-V4-Pro,primary142,6,自我评价低或让家人失望,B,1420,0.7077464788732394,0.23591549295774647,0.02464788732394366,-0.01619718309859155,0.06971830985915492,0.29217078292170784,-0.4992957746478873,0.5126760563380282,0.46747325267473255
PHQ-8,DeepSeek-V4-Pro,primary142,6,自我评价低或让家人失望,C03,1420,0.6830985915492958,0.2276995305164319,0.0,0.0,0.0,1.0,-0.5,0.528169014084507,
PHQ-8,DeepSeek-V4-Pro,primary142,6,自我评价低或让家人失望,ElasticNet,1420,0.8330985915492958,0.2776995305164319,0.15,0.014084507042253534,0.28591549295774643,0.032896710328967106,0.1795774647887324,0.26830985915492955,0.10638936106389361
PHQ-8,DeepSeek-V4-Pro,primary142,6,自我评价低或让家人失望,Mean,1420,0.7535211267605634,0.2511737089201878,0.07042253521126761,-0.02112676056338028,0.16901408450704225,0.19158084191580843,-0.24647887323943662,0.45774647887323944,0.4183581641835816
PHQ-8,DeepSeek-V4-Pro,primary142,6,自我评价低或让家人失望,Median,1420,0.7464788732394366,0.24882629107981222,0.06338028169014084,-0.02112676056338028,0.14788732394366197,0.20657934206579343,-0.323943661971831,0.4859154929577465,0.6746753896038967
PHQ-8,DeepSeek-V4-Pro,primary142,6,自我评价低或让家人失望,Ridge,1420,0.8380281690140845,0.2793427230046948,0.15492957746478872,0.0189612676056338,0.2838204225352111,0.0301969803019698,0.1619718309859155,0.26549295774647885,0.08665800086658
PHQ-8,DeepSeek-V4-Pro,primary142,7,注意力困难,B,1420,0.6028169014084507,0.20093896713615023,-0.05211267605633802,-0.12112676056338027,0.009859154929577464,0.14508549145085492,-0.504225352112676,0.5746478873239437,0.29017098290170984
PHQ-8,DeepSeek-V4-Pro,primary142,7,注意力困难,C03,1420,0.6549295774647887,0.2183098591549296,0.0,0.0,0.0,1.0,-0.6126760563380281,0.5563380281690141,
PHQ-8,DeepSeek-V4-Pro,primary142,7,注意力困难,ElasticNet,1420,0.7859154929577464,0.2619718309859155,0.13098591549295777,-0.02818661971830986,0.2887323943661972,0.11068893110688931,0.3211267605633803,0.2830985915492958,0.18974102589741026
