analysis_subset,c03_total_MAE,cancellation_ratio,cancellation_ratio_median,complete_subject_coverage,complete_subject_n,coverage,coverage_IQR,coverage_median,delta_total_MAE_IQR,delta_total_MAE_median,delta_total_MAE_vs_C03,fold,fold_improved_vs_C03,folds_improved_n,folds_total_n,item_MAE,item_NAE,item_NAE_IQR,item_NAE_median,level,method,model,proportion_folds_improved,repeat,scale,subject_n,total_MAE,total_MAE_IQR,total_MAE_max,total_MAE_median,total_MAE_min,total_RMSE
primary142,3.857142857142857,0.272108843537415,,1.0,28,1.0,,,,,-0.03571428571428559,3.0,1.0,,,0.6294642857142857,0.20982142857142855,,,outer_fold,Ridge,DeepSeek-V4-Pro,,2.0,PHQ-8,28,3.8214285714285716,,,,,4.716990566028302
primary142,4.071428571428571,0.1729591836734694,,1.0,28,1.0,,,,,-0.3214285714285712,4.0,1.0,,,0.6026785714285714,0.20089285714285715,,,outer_fold,B,DeepSeek-V4-Pro,,2.0,PHQ-8,28,3.75,,,,,4.909902530309829
primary142,4.071428571428571,0.1486394557823129,,1.0,28,1.0,,,,,0.0,4.0,,,,0.6071428571428571,0.20238095238095238,,,outer_fold,C03,DeepSeek-V4-Pro,,2.0,PHQ-8,28,4.071428571428571,,,,,5.237229365663817
primary142,4.071428571428571,0.29719387755102045,,1.0,28,1.0,,,,,-0.8571428571428568,4.0,1.0,,,0.5625,0.18749999999999997,,,outer_fold,ElasticNet,DeepSeek-V4-Pro,,2.0,PHQ-8,28,3.2142857142857144,,,,,4.0970372570571385
primary142,4.071428571428571,0.2575353218210361,,1.0,28,1.0,,,,,-0.49999999999999956,4.0,1.0,,,0.6160714285714286,0.20535714285714285,,,outer_fold,Mean,DeepSeek-V4-Pro,,2.0,PHQ-8,28,3.5714285714285716,,,,,4.7207747548166585
primary142,4.071428571428571,0.23083464154892727,,1.0,28,1.0,,,,,-0.3214285714285712,4.0,1.0,,,0.6294642857142857,0.20982142857142858,,,outer_fold,Median,DeepSeek-V4-Pro,,2.0,PHQ-8,28,3.75,,,,,4.94613846493259
primary142,4.071428571428571,0.2710034013605442,,1.0,28,1.0,,,,,-0.8214285714285712,4.0,1.0,,,0.5580357142857143,0.1860119047619047,,,outer_fold,Ridge,DeepSeek-V4-Pro,,2.0,PHQ-8,28,3.25,,,,,4.039978783536935
primary142,4.0,0.18443051201671892,,1.0,29,1.0,,,,,-0.31034482758620685,0.0,1.0,,,0.5991379310344828,0.19971264367816094,,,outer_fold,B,DeepSeek-V4-Pro,,3.0,PHQ-8,29,3.689655172413793,,,,,5.641594296552753
primary142,4.0,0.17651888341543512,,1.0,29,1.0,,,,,0.0,0.0,,,,0.6206896551724138,0.20689655172413796,,,outer_fold,C03,DeepSeek-V4-Pro,,3.0,PHQ-8,29,4.0,,,,,6.057198624150755
primary142,4.0,0.28850574712643673,,1.0,29,1.0,,,,,0.0344827586206895,0.0,0.0,,,0.6594827586206896,0.21982758620689655,,,outer_fold,ElasticNet,DeepSeek-V4-Pro,,3.0,PHQ-8,29,4.0344827586206895,,,,,5.041209488153441
primary142,4.0,0.2414887794198139,,1.0,29,1.0,,,,,-0.4482758620689653,0.0,1.0,,,0.6077586206896551,0.20258620689655168,,,outer_fold,Mean,DeepSeek-V4-Pro,,3.0,PHQ-8,29,3.5517241379310347,,,,,5.26864505254009
primary142,4.0,0.27616559685525205,,1.0,29,1.0,,,,,-0.5862068965517242,0.0,1.0,,,0.6163793103448276,0.20545977011494254,,,outer_fold,Median,DeepSeek-V4-Pro,,3.0,PHQ-8,29,3.413793103448276,,,,,5.327223511814347
primary142,4.0,0.29211822660098524,,1.0,29,1.0,,,,,-0.0344827586206895,0.0,1.0,,,0.6422413793103449,0.21408045977011494,,,outer_fold,Ridge,DeepSeek-V4-Pro,,3.0,PHQ-8,29,3.9655172413793105,,,,,4.979267360593912
primary142,4.379310344827586,0.2345706018119811,,1.0,29,1.0,,,,,-0.1724137931034484,1.0,1.0,,,0.6810344827586207,0.22701149425287356,,,outer_fold,B,DeepSeek-V4-Pro,,3.0,PHQ-8,29,4.206896551724138,,,,,5.533596448528969
