repeat,fold,heldout_subject_n,selected_MAE,C03_MAE,delta_MAE,delta_item_NAE,delta_cancellation_ratio,scale,analysis_layer,model,improved
3,3,38,4.184210526315789,4.7894736842105265,-0.6052631578947368,-0.0010964912280701793,0.0825643654591023,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
3,4,37,4.162162162162162,4.486486486486487,-0.32432432432432434,-0.002252252252252252,0.06765336765336766,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
4,0,38,3.789473684210526,4.0,-0.21052631578947367,0.006578947368421051,0.07675438596491228,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
4,1,38,3.3421052631578947,4.0,-0.6578947368421053,-0.012061403508771926,0.11862479625637522,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
4,2,38,4.2368421052631575,4.5,-0.2631578947368421,-0.006578947368421052,0.03166438824333561,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
4,3,38,3.5789473684210527,3.9210526315789473,-0.34210526315789475,0.007675438596491231,0.07403736614262929,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
4,4,37,3.5135135135135136,4.0,-0.4864864864864865,-0.004504504504504507,0.05441870441870442,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
5,0,38,3.1842105263157894,3.789473684210526,-0.6052631578947368,0.0010964912280701747,0.13766043897622846,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
5,1,38,3.3947368421052633,3.6052631578947367,-0.21052631578947367,-0.002192982456140352,0.030221386800334166,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
5,2,38,4.105263157894737,4.2894736842105265,-0.18421052631578946,-0.005482456140350877,0.02798663324979114,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
5,3,38,4.105263157894737,4.605263157894737,-0.5,-0.007675438596491227,0.06131806789701527,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
5,4,37,3.5135135135135136,4.135135135135135,-0.6216216216216216,0.001126126126126128,0.1173101673101673,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
6,0,38,3.8421052631578947,3.4210526315789473,0.42105263157894735,0.026315789473684216,0.022594948910738388,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,False
6,1,38,3.5789473684210527,4.078947368421052,-0.5,0.0010964912280701773,0.09463241436925647,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
6,2,38,4.105263157894737,4.815789473684211,-0.7105263157894737,-0.01425438596491228,0.11424204450520241,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
6,3,38,4.026315789473684,4.394736842105263,-0.3684210526315789,-0.0021929824561403516,0.050146198830409355,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
6,4,37,3.324324324324324,3.7027027027027026,-0.3783783783783784,-0.011261261261261257,0.029665379665379663,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
7,0,38,3.3421052631578947,3.4210526315789473,-0.07894736842105263,-0.003289473684210522,0.03949267107161843,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
7,1,38,3.6052631578947367,4.026315789473684,-0.42105263157894735,0.008771929824561401,0.08208969393179918,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
7,2,38,4.394736842105263,4.421052631578948,-0.02631578947368421,-0.001096491228070176,0.004239766081871345,PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,True
