scale,analysis_layer,target_method,reference_method,metric,n,delta_target_minus_reference,ci_low,ci_high,p,q,direction
HAMD-17,HAMD17_available,CrossAI_Conservative-C,C03_Qwen3.7-Max,cancellation_ratio_subject,99,0.0306048146535059,-0.0149193018766266,0.0761893488062218,0.2068793120687931,0.3103189681031897,target higher
HAMD-17,HAMD17_strict_complete,CrossAI_C03,C03_GLM-5.2,total_MAE_subject,61,-0.0131147540983606,-0.4246311475409837,0.4246311475409832,0.9495050494950504,0.9495050494950504,target lower (favorable for error)
HAMD-17,HAMD17_strict_complete,CrossAI_C03,C03_GLM-5.2,item_NAE_subject,61,-0.0034715525554484,-0.0109215284474445,0.0048945274831243,0.4153584641535846,0.4153584641535846,target lower (favorable for error)
HAMD-17,HAMD17_strict_complete,CrossAI_C03,C03_GLM-5.2,cancellation_ratio_subject,61,-0.0250438541422148,-0.0928473047899277,0.0450572826535941,0.4760523947605239,0.4760523947605239,target lower (favorable for error)
HAMD-17,HAMD17_strict_complete,CrossAI_C03,C03_Kimi-K2.6,total_MAE_subject,59,-0.3745762711864407,-0.7899152542372881,0.0830932203389827,0.1036896310368963,0.3110688931106889,target lower (favorable for error)
HAMD-17,HAMD17_strict_complete,CrossAI_C03,C03_Kimi-K2.6,item_NAE_subject,59,-0.0045114656031904,-0.0131112911266201,0.0036895563310069,0.3030696930306969,0.4153584641535846,target lower (favorable for error)
HAMD-17,HAMD17_strict_complete,CrossAI_C03,C03_Kimi-K2.6,cancellation_ratio_subject,59,0.0691472557574252,0.0046197345498193,0.1399340069064645,0.0564943505649435,0.1694830516948305,target higher
HAMD-17,HAMD17_strict_complete,CrossAI_C03,C03_Qwen3.7-Max,total_MAE_subject,57,-0.0315789473684211,-0.4157894736842106,0.3491666666666664,0.8758124187581242,0.9495050494950504,target lower (favorable for error)
HAMD-17,HAMD17_strict_complete,CrossAI_C03,C03_Qwen3.7-Max,item_NAE_subject,57,0.0046697626418988,-0.0023219814241486,0.0119981940144478,0.2041795820417958,0.4153584641535846,target higher
HAMD-17,HAMD17_strict_complete,CrossAI_C03,C03_Qwen3.7-Max,cancellation_ratio_subject,57,0.0327292590450485,-0.0318037021458074,0.097901043157622,0.3300669933006699,0.4760523947605239,target higher
