scale,analysis_layer,method,item_id,subject_n,item_MAE,item_NAE,coverage,complete_subject_rate,total_MAE,sum_item_AE,cancellation_amount,cancellation_ratio,weighted_kappa,route_family,mechanism_note
PHQ-8,PHQ189_pooled,WithinAI_Qwen3.7-Max_A,7,189,0.6947089947089947,0.2315696649029982,1.0,1.0,3.5989417989417998,5.052910052910053,1.4539682539682532,0.2378678628491887,0.230465666060556,SingleAI-A,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_Qwen3.7-Max_A,8,189,0.3777777777777778,0.1259259259259259,1.0,1.0,3.5989417989417998,5.052910052910053,1.4539682539682532,0.2378678628491887,0.230465666060556,SingleAI-A,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_Qwen3.7-Max_B,1,189,0.5835978835978836,0.1945326278659612,1.0,1.0,3.737566137566137,4.897354497354497,1.1597883597883603,0.2119557250509631,0.2495513207088503,SingleAI-B,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_Qwen3.7-Max_B,2,189,0.4973544973544973,0.1657848324514991,1.0,1.0,3.737566137566137,4.897354497354497,1.1597883597883603,0.2119557250509631,0.2495513207088503,SingleAI-B,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_Qwen3.7-Max_B,3,189,0.4968253968253968,0.1656084656084656,1.0,1.0,3.737566137566137,4.897354497354497,1.1597883597883603,0.2119557250509631,0.2495513207088503,SingleAI-B,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_Qwen3.7-Max_B,4,189,0.7380952380952381,0.246031746031746,1.0,1.0,3.737566137566137,4.897354497354497,1.1597883597883603,0.2119557250509631,0.2495513207088503,SingleAI-B,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_Qwen3.7-Max_B,5,189,0.907936507936508,0.3026455026455026,1.0,1.0,3.737566137566137,4.897354497354497,1.1597883597883603,0.2119557250509631,0.2495513207088503,SingleAI-B,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_Qwen3.7-Max_B,6,189,0.6544973544973545,0.2181657848324515,1.0,1.0,3.737566137566137,4.897354497354497,1.1597883597883603,0.2119557250509631,0.2495513207088503,SingleAI-B,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_Qwen3.7-Max_B,7,189,0.6814814814814816,0.2271604938271605,1.0,1.0,3.737566137566137,4.897354497354497,1.1597883597883603,0.2119557250509631,0.2495513207088503,SingleAI-B,item error and total cancellation read together
PHQ-8,PHQ189_pooled,WithinAI_Qwen3.7-Max_B,8,189,0.3375661375661375,0.1125220458553791,1.0,1.0,3.737566137566137,4.897354497354497,1.1597883597883603,0.2119557250509631,0.2495513207088503,SingleAI-B,item error and total cancellation read together
